entry(1577115539462, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_FileOpenCommand, 4).
entry(1577115539462, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_FileOpenCommand, 4).
entry(1577115539648, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 12).
entry(1577115539648, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 12).
entry(1577115542378, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 13).
entry(1577115542378, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_MoveCaretCommand, 13).
entry(1577115544321, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 1).
entry(1577115544321, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 1).
entry(1577115549235, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 2).
entry(1577115550261, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 2).
entry(1577115550771, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ecstyledTextCommandDELETE_PREVIOUS, 1).
entry(1577115551919, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_ecstyledTextCommandDELETE_PREVIOUS, 1).
entry(1577115552241, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 3).
entry(1577115556696, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 3).
entry(1577115556989, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 4).
entry(1577115556989, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 4).
entry(1577115557532, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 5).
entry(1577115560709, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 5).
entry(1577115563059, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 6).
entry(1577115563059, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 6).
entry(1577115563896, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 7).
entry(1577115563896, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 7).
entry(1577115564081, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 8).
entry(1577115564081, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 8).
entry(1577115566481, begin_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 9).
entry(1577115575515, end_of_activity, idmodel_706218finale, idexec_70621820191223160259083, act_InsertStringCommand, 9).
